Property ID,Locality name,Postal code,price,Type of property,Construction year,Number of rooms,Surface of the plot,Living area,kitchen,furnished,Open fire,Terrace,Garden,Garden orientation,Number of facades,Swimming pool,State of builing,Energy class,Primary energy consumption,Heating type,Flood zone type,Double glazing,Cadastral income,region
20246497,Evergem,9940,549000,house,2020.0,4.0,362.0,199.0,,,,,,,3.0,,As new,A,47.0,Gas,Non flood zone,1.0,1029.0,Flanders
20246496,Lokeren,9160,629000,house,1988.0,3.0,748.0,352.0,,,,,,,3.0,,As new,B,136.0,Gas,Non flood zone,1.0,1574.0,Flanders
20246493,Dottenijs,7711,179000,house,,3.0,283.0,147.0,0.0,0.0,,,100.0,,3.0,,To renovate,D,334.0,Gas,Non flood zone,,557.0,Wallonia
20246490,Quaregnon,7390,195000,house,,3.0,750.0,173.0,1.0,0.0,,30.0,600.0,,2.0,,Good,D,287.0,Fuel oil,,1.0,,Wallonia
20246489,Saint-André,4606,350000,house,2000.0,2.0,1212.0,145.0,1.0,0.0,,80.0,500.0,,3.0,0.0,Just renovated,C,231.0,Pellet,Non flood zone,,,Wallonia
20246488,Hechtel-Eksel,3940,289000,house,,2.0,841.0,,,,,,,,4.0,,,Not specified,,,,,,Flanders
11347365,Tournai,7500,475000,house,,10.0,949.0,557.0,0.0,0.0,,,949.0,,4.0,0.0,To renovate,E,359.0,Gas,Non flood zone,1.0,3021.0,Wallonia
20246479,Mortsel,2640,295000,apartment,,3.0,,120.0,1.0,,,,,,2.0,,As new,B,132.0,Gas,,1.0,,Flanders
20246477,Wichelen,9260,249000,house,,2.0,680.0,85.0,,,,,,,3.0,,,F,1079.0,,,,262.0,Flanders
20246475,Quiévrain,7380,195000,house,,3.0,160.0,,1.0,0.0,,,80.0,,2.0,,Good,E,408.0,Gas,Non flood zone,1.0,475.0,Wallonia
20190983,Houthalen-Helchteren,3530,285000,apartment,2002.0,2.0,,99.0,1.0,0.0,,34.0,,,3.0,,,B,172.0,Gas,Possible flood zone,1.0,850.0,Flanders
